filename,handle,filename2,.tif
ksrl_sc_ms23_C.6.4.tif,http://hdl.handle.net/10407/6143344751,ksrl_sc_ms23_C.6.4,.tif
ksrl_sc_ms23_C.6.5.tif,http://hdl.handle.net/10407/7440273086,ksrl_sc_ms23_C.6.5,.tif
ksrl_sc_ms23_C.6.6.tif,http://hdl.handle.net/10407/8737201421,ksrl_sc_ms23_C.6.6,.tif
ksrl_sc_ms23_C.6.7.tif,http://hdl.handle.net/10407/0034129706,ksrl_sc_ms23_C.6.7,.tif
ksrl_sc_ms23_C.6.8.tif,http://hdl.handle.net/10407/1331058039,ksrl_sc_ms23_C.6.8,.tif
ksrl_sc_ms23_C.6.9.tif,http://hdl.handle.net/10407/2627986372,ksrl_sc_ms23_C.6.9,.tif
ksrl_sc_ms23_C.7.1.tif,http://hdl.handle.net/10407/3890785015,ksrl_sc_ms23_C.7.1,.tif
ksrl_sc_ms23_C.7.2.tif,http://hdl.handle.net/10407/5187713348,ksrl_sc_ms23_C.7.2,.tif
ksrl_sc_ms23_D.1.1.tif,http://hdl.handle.net/10407/1638225278,ksrl_sc_ms23_D.1.1,.tif
ksrl_sc_ms23_D.1.2.tif,http://hdl.handle.net/10407/2935153612,ksrl_sc_ms23_D.1.2,.tif
ksrl_sc_ms23_D.1.3a.tif,http://hdl.handle.net/10407/4232081945,ksrl_sc_ms23_D.1.3a,.tif
ksrl_sc_ms23_D.1.3b.tif,http://hdl.handle.net/10407/5494880585,ksrl_sc_ms23_D.1.3b,.tif
ksrl_sc_ms23_D.1.3c.tif,http://hdl.handle.net/10407/6791808919,ksrl_sc_ms23_D.1.3c,.tif
ksrl_sc_ms23_D.10.1.tif,http://hdl.handle.net/10407/8088737254,ksrl_sc_ms23_D.10.1,.tif
ksrl_sc_ms23_D.10.10.tif,http://hdl.handle.net/10407/9385665589,ksrl_sc_ms23_D.10.10,.tif
ksrl_sc_ms23_D.10.11.tif,http://hdl.handle.net/10407/0682593874,ksrl_sc_ms23_D.10.11,.tif
ksrl_sc_ms23_D.10.12.tif,http://hdl.handle.net/10407/1979522207,ksrl_sc_ms23_D.10.12,.tif
ksrl_sc_ms23_D.10.13.tif,http://hdl.handle.net/10407/3276450540,ksrl_sc_ms23_D.10.13,.tif
ksrl_sc_ms23_D.10.14.tif,http://hdl.handle.net/10407/4539249182,ksrl_sc_ms23_D.10.14,.tif
ksrl_sc_ms23_D.10.15.tif,http://hdl.handle.net/10407/5836177516,ksrl_sc_ms23_D.10.15,.tif
ksrl_sc_ms23_D.10.16.tif,http://hdl.handle.net/10407/7133105851,ksrl_sc_ms23_D.10.16,.tif
ksrl_sc_ms23_D.10.17.tif,http://hdl.handle.net/10407/8430034185,ksrl_sc_ms23_D.10.17,.tif
ksrl_sc_ms23_D.10.18.tif,http://hdl.handle.net/10407/9726962519,ksrl_sc_ms23_D.10.18,.tif
ksrl_sc_ms23_D.10.19.tif,http://hdl.handle.net/10407/1023890803,ksrl_sc_ms23_D.10.19,.tif
ksrl_sc_ms23_D.10.2.tif,http://hdl.handle.net/10407/2320819136,ksrl_sc_ms23_D.10.2,.tif
ksrl_sc_ms23_D.10.20.tif,http://hdl.handle.net/10407/3583617778,ksrl_sc_ms23_D.10.20,.tif
ksrl_sc_ms23_D.10.21.tif,http://hdl.handle.net/10407/4880546112,ksrl_sc_ms23_D.10.21,.tif
ksrl_sc_ms23_D.10.3.tif,http://hdl.handle.net/10407/6177474447,ksrl_sc_ms23_D.10.3,.tif
ksrl_sc_ms23_D.10.4.tif,http://hdl.handle.net/10407/7474402781,ksrl_sc_ms23_D.10.4,.tif
ksrl_sc_ms23_D.10.5.tif,http://hdl.handle.net/10407/8771331115,ksrl_sc_ms23_D.10.5,.tif
ksrl_sc_ms23_D.10.6.tif,http://hdl.handle.net/10407/0068259399,ksrl_sc_ms23_D.10.6,.tif
ksrl_sc_ms23_D.10.7.tif,http://hdl.handle.net/10407/1365187732,ksrl_sc_ms23_D.10.7,.tif
ksrl_sc_ms23_D.10.8.tif,http://hdl.handle.net/10407/2627986373,ksrl_sc_ms23_D.10.8,.tif
ksrl_sc_ms23_D.10.9.tif,http://hdl.handle.net/10407/3924914707,ksrl_sc_ms23_D.10.9,.tif
ksrl_sc_ms23_D.11.1.tif,http://hdl.handle.net/10407/5221843042,ksrl_sc_ms23_D.11.1,.tif
ksrl_sc_ms23_D.11.2.tif,http://hdl.handle.net/10407/6518771376,ksrl_sc_ms23_D.11.2,.tif
ksrl_sc_ms23_D.11.3.tif,http://hdl.handle.net/10407/7815699710,ksrl_sc_ms23_D.11.3,.tif
ksrl_sc_ms23_D.11.4.tif,http://hdl.handle.net/10407/9112628043,ksrl_sc_ms23_D.11.4,.tif
ksrl_sc_ms23_D.11.5.tif,http://hdl.handle.net/10407/0375426636,ksrl_sc_ms23_D.11.5,.tif
ksrl_sc_ms23_D.2.1.tif,http://hdl.handle.net/10407/1672354969,ksrl_sc_ms23_D.2.1,.tif
ksrl_sc_ms23_D.2.10.tif,http://hdl.handle.net/10407/2969283302,ksrl_sc_ms23_D.2.10,.tif
ksrl_sc_ms23_D.2.11.tif,http://hdl.handle.net/10407/4266211637,ksrl_sc_ms23_D.2.11,.tif
ksrl_sc_ms23_D.2.12.tif,http://hdl.handle.net/10407/5563139971,ksrl_sc_ms23_D.2.12,.tif
ksrl_sc_ms23_D.2.13.tif,http://hdl.handle.net/10407/6860068305,ksrl_sc_ms23_D.2.13,.tif
ksrl_sc_ms23_D.2.14.tif,http://hdl.handle.net/10407/8156996638,ksrl_sc_ms23_D.2.14,.tif
ksrl_sc_ms23_D.2.15.tif,http://hdl.handle.net/10407/9419795281,ksrl_sc_ms23_D.2.15,.tif
